id,edad,educacion,sexo,localidad,af,cfk,fe,mm,hrl,fm,jm,lc,tf,afi,vc,fa,ms,fas,ds,cluster
482,Entre 25 y 34 años,Universitario COMPLETO,Hombre,Ramos Mejía,-2,-3,-3,1,2,-1,-1,0,-1,0,2,0,-1,-2,-3,2
483,Entre 16 y 24 años,Universitario INCOMPLETO,Mujer,Isidro Casanova,-1,0,-3,-1,-1,0,-1,0,0,-1,1,-1,0,0,0,2
484,Entre 16 y 24 años,Terciario INCOMPLETO,Mujer,Villa Celina,1,-1,1,-3,-1,2,1,0,0,0,-3,0,0,0,1,1
485,Entre 35 y 54 años,Universitario COMPLETO,Hombre,Ciudad Evita,-3,-3,-3,-2,-2,-2,2,0,-2,0,-2,1,0,0,-3,2
486,55 años o más,Terciario COMPLETO,Mujer,Ciudad Evita,-2,-3,-3,1,1,1,-1,0,1,1,1,2,1,0,-2,2
487,55 años o más,Posgrado y más,Hombre,Ciudad Evita,-1,3,2,-3,-3,-2,-3,0,-3,-2,-3,-2,-1,0,2,1
488,Entre 16 y 24 años,Secundaria COMPLETA,Mujer,Ramos Mejía,2,1,0,-1,-1,0,1,0,0,0,-3,-2,0,0,1,1
489,Entre 25 y 34 años,Terciario INCOMPLETO,Mujer,Villa Madero,1,3,1,-3,-2,0,-3,0,0,0,-2,0,0,0,2,1
490,Entre 35 y 54 años,Universitario COMPLETO,Mujer,San Justo,-3,-3,-3,2,2,2,1,0,0,0,-1,-1,0,-3,-3,2
491,Entre 16 y 24 años,Secundaria COMPLETA,Mujer,Isidro Casanova,2,1,-1,-3,2,0,-1,0,0,0,-3,0,1,0,2,1
492,Entre 16 y 24 años,Secundaria COMPLETA,Mujer,Villa Luzuriaga,-3,-1,-3,-3,-1,-1,-2,0,0,0,-3,0,0,0,0,1
493,Entre 35 y 54 años,Terciario INCOMPLETO,Hombre,San Justo,-3,-1,-1,1,-1,-1,2,0,2,2,1,2,1,0,-2,2
494,Entre 35 y 54 años,Terciario COMPLETO,Mujer,Ramos Mejía,1,-2,-3,-3,-3,-2,-2,0,0,1,-1,2,0,2,1,1
495,Entre 16 y 24 años,Terciario INCOMPLETO,Mujer,Laferrere,-3,-3,-3,-3,-3,-3,0,0,0,0,0,0,0,0,-3,2
496,55 años o más,Secundaria COMPLETA,Mujer,San Justo,-3,-3,-2,1,2,2,1,0,1,3,3,2,0,1,-3,2
497,Entre 16 y 24 años,Universitario INCOMPLETO,Mujer,Isidro Casanova,-1,-1,-2,-3,1,-2,-1,0,0,0,-3,0,-1,0,1,1
498,Entre 25 y 34 años,Secundaria COMPLETA,Mujer,Virrey del Pino,1,1,-2,-3,-3,0,0,0,0,0,-2,0,-1,-1,-1,1
499,Entre 16 y 24 años,Terciario INCOMPLETO,Mujer,Isidro Casanova,-2,1,-3,-3,1,-1,1,0,0,0,-3,-3,-3,0,1,1
500,Entre 25 y 34 años,Secundaria COMPLETA,Mujer,Villa Celina,-3,-3,-3,2,2,0,1,0,1,0,-1,0,0,0,-2,2
501,Entre 16 y 24 años,Universitario INCOMPLETO,Mujer,Laferrere,-3,-3,-3,-2,-3,0,-2,0,0,0,-3,-1,-1,0,-1,1
502,Entre 25 y 34 años,Universitario COMPLETO,Mujer,Virrey del Pino,-1,-2,-3,-2,1,0,1,0,0,0,-2,0,-2,0,-1,2
503,Entre 35 y 54 años,Secundaria INCOMPLETA,Mujer,González Catán,-1,-3,-3,3,3,2,2,0,-1,-1,1,0,-1,0,-2,2
504,55 años o más,Universitario COMPLETO,Hombre,Ramos Mejía,-3,-3,-3,-1,1,0,1,0,2,2,2,2,0,0,-3,2
505,Entre 35 y 54 años,Universitario INCOMPLETO,Mujer,Rafael Castillo,2,2,-1,-3,-3,-2,-3,0,-3,0,-3,0,-2,0,1,1
506,Entre 16 y 24 años,Secundaria COMPLETA,Hombre,Laferrere,-3,-3,-3,1,2,1,1,0,0,0,-1,0,1,0,-2,2
507,Entre 25 y 34 años,Universitario INCOMPLETO,Mujer,San Justo,-2,-3,-3,-1,1,0,0,0,0,0,-3,0,0,0,-1,2
508,Entre 35 y 54 años,Terciario INCOMPLETO,Mujer,Isidro Casanova,-3,-3,-3,1,3,3,1,0,2,-2,-2,1,-2,0,-3,2
509,Entre 35 y 54 años,Secundaria COMPLETA,Hombre,Isidro Casanova,-3,-3,-3,-3,-3,-3,-3,0,-3,-3,-3,0,-3,0,-3,1
510,Entre 16 y 24 años,Universitario INCOMPLETO,Mujer,Lomas del Mirador,-3,-3,-3,-2,-2,1,-1,0,0,0,-3,0,0,0,-3,2
511,Entre 16 y 24 años,Terciario COMPLETO,Mujer,Rafael Castillo,1,1,-3,-2,1,0,-1,0,0,0,-3,0,0,0,2,1
512,55 años o más,Secundaria INCOMPLETA,Mujer,González Catán,3,3,1,-3,-3,-2,-3,0,-3,-3,-3,-3,0,0,3,1
513,Entre 16 y 24 años,Secundaria COMPLETA,Mujer,González Catán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
514,Entre 35 y 54 años,Secundaria INCOMPLETA,Mujer,Isidro Casanova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
515,55 años o más,Terciario COMPLETO,Hombre,Virrey del Pino,1,3,-1,-3,-2,-1,-3,0,-3,-2,-3,-2,-2,0,2,1
516,Entre 25 y 34 años,Universitario COMPLETO,Mujer,Lomas del Mirador,1,3,-3,-3,-3,0,-3,0,-3,0,-3,0,0,0,1,1
517,55 años o más,Terciario INCOMPLETO,Hombre,González Catán,-1,2,-2,-2,-1,0,-2,0,0,0,-2,-2,0,0,2,1
518,Entre 16 y 24 años,Secundaria COMPLETA,Mujer,Lomas del Mirador,-3,-3,-1,-2,1,0,-1,0,0,1,2,2,1,-1,-2,2
519,Entre 16 y 24 años,Terciario COMPLETO,Mujer,Virrey del Pino,2,2,-3,-2,1,0,1,0,0,0,-3,0,0,0,1,1
520,Entre 16 y 24 años,Universitario INCOMPLETO,Mujer,Villa Celina,1,-2,-3,-3,1,1,3,0,0,0,-2,0,0,0,1,2
521,Entre 25 y 34 años,Universitario INCOMPLETO,Mujer,Villa Madero,-1,3,-3,-3,-3,-3,-3,0,0,-3,-3,0,0,0,-1,1
522,Entre 35 y 54 años,Terciario COMPLETO,Mujer,Isidro Casanova,-3,-3,-1,-1,1,0,1,0,0,0,2,-1,0,0,-3,2
523,55 años o más,Secundaria COMPLETA,Mujer,Isidro Casanova,2,2,2,-3,-3,-2,-3,0,0,0,-3,0,-1,0,2,1
