edad_agrup,n_edu,sexo,localidad,af,cfk,fe,mm,hrl,fm,jm,lc,tf,afi,vc,fa,ms,fas,ds
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Isidro Casanova,Regular negativa,Regular negativa,Regular negativa,Regular positiva,Regular positiva,Regular positiva,Regular positiva,Regular positiva,Regular positiva,Regular positiva,Regular positiva,No la conozco,Regular positiva,Positiva,Positiva
Entre 35 y 54 años,Secundaria INCOMPLETA,Mujer,Laferrere,Muy positiva,Muy positiva,Positiva,Muy negativa,Positiva,Regular positiva,Regular positiva,Regular positiva,Muy positiva,Regular positiva,Positiva,Positiva,Positiva,Positiva,Positiva
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Rafael Castillo,Positiva,Positiva,Regular positiva,Muy negativa,Negativa,Negativa,Regular positiva,Regular positiva,Regular positiva,Positiva,Muy negativa,Positiva,Negativa,No lo conozco,Muy negativa
Entre 16 y 24 años,Secundaria COMPLETA,Mujer,Ciudad Evita,Regular positiva,Regular positiva,Regular positiva,Negativa,Regular positiva,Regular positiva,Muy positiva,Regular positiva,Regular positiva,Regular positiva,Muy negativa,Regular positiva,Regular positiva,Regular positiva,Regular positiva
Entre 35 y 54 años,Secundaria INCOMPLETA,Mujer,Laferrere,No lo conozco,Muy negativa,Negativa,No lo conozco,No lo conozco,No lo conozco,Regular negativa,Regular positiva,Regular positiva,No lo conozco,No la conozco,No la conozco,Negativa,No lo conozco,No lo conozco
55 años o más,Primaria COMPLETA,Hombre,González Catán,Positiva,Muy positiva,Regular positiva,Regular positiva,Positiva,Regular positiva,Regular negativa,Regular positiva,Regular positiva,Regular positiva,Muy negativa,Negativa,Negativa,Regular positiva,Positiva
55 años o más,Secundaria INCOMPLETA,Mujer,San Justo,Positiva,Regular positiva,Regular negativa,Muy negativa,Positiva,Regular positiva,Negativa,Regular positiva,Regular negativa,Regular negativa,Regular negativa,Regular positiva,Negativa,No lo conozco,Regular positiva
Entre 25 y 34 años,Secundaria COMPLETA,Mujer,Virrey del Pino,Muy positiva,Muy positiva,Regular negativa,Muy negativa,Muy negativa,No lo conozco,Muy negativa,Regular positiva,No lo conozco,No lo conozco,No la conozco,No la conozco,Regular positiva,No lo conozco,Regular positiva
Entre 35 y 54 años,Secundaria INCOMPLETA,Mujer,Isidro Casanova,Positiva,Regular positiva,Negativa,Negativa,Positiva,Positiva,Positiva,Regular positiva,No lo conozco,No lo conozco,Negativa,No la conozco,Positiva,Positiva,Positiva
55 años o más,Terciario COMPLETO,Mujer,Ramos Mejía,Muy negativa,Muy negativa,Muy negativa,Muy positiva,Positiva,Regular negativa,Regular negativa,Regular positiva,Regular positiva,Muy positiva,Regular negativa,Regular negativa,Muy negativa,Muy negativa,Muy negativa
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Aldo Bonzi,Muy negativa,Muy negativa,Muy negativa,Regular positiva,Regular positiva,Regular positiva,Muy positiva,Regular positiva,Regular positiva,Positiva,Muy positiva,Positiva,Negativa,No lo conozco,Negativa
Entre 35 y 54 años,Secundaria INCOMPLETA,Mujer,Laferrere,Positiva,Muy positiva,Regular positiva,Muy negativa,Negativa,Regular negativa,Negativa,Regular positiva,Regular negativa,No lo conozco,Muy negativa,Positiva,Positiva,Regular positiva,Regular positiva
Entre 16 y 24 años,Secundaria COMPLETA,Mujer,Laferrere,Regular positiva,Regular positiva,Regular positiva,Negativa,Regular positiva,Regular positiva,Positiva,Regular positiva,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular positiva,Regular negativa,Regular positiva
55 años o más,Universitario COMPLETO,Hombre,Isidro Casanova,Regular positiva,Regular positiva,Regular positiva,Regular positiva,Regular positiva,Regular positiva,Regular positiva,Regular positiva,Regular positiva,Regular positiva,Regular positiva,Regular positiva,Regular positiva,Regular positiva,Regular positiva
Entre 35 y 54 años,Universitario COMPLETO,Mujer,Virrey del Pino,Muy negativa,Muy negativa,Muy negativa,Regular positiva,Positiva,Positiva,Regular positiva,Regular positiva,Regular positiva,Regular positiva,Regular positiva,Muy positiva,Regular positiva,Regular negativa,Muy negativa
Entre 25 y 34 años,Secundaria INCOMPLETA,Mujer,Laferrere,Muy positiva,Muy positiva,Regular positiva,No lo conozco,Regular positiva,No lo conozco,No lo conozco,Regular positiva,Regular positiva,Regular positiva,Negativa,Regular positiva,Positiva,Regular positiva,Positiva
Entre 35 y 54 años,Universitario COMPLETO,Hombre,Ramos Mejía,Muy negativa,Muy negativa,Muy negativa,Positiva,Muy positiva,Positiva,Positiva,Regular positiva,Positiva,Positiva,Positiva,Positiva,Regular positiva,Negativa,Muy negativa
Entre 16 y 24 años,Secundaria COMPLETA,Mujer,González Catán,Negativa,Muy negativa,Muy negativa,Regular positiva,Regular positiva,Positiva,Positiva,Regular positiva,No lo conozco,No lo conozco,Muy negativa,No la conozco,No lo conozco,No lo conozco,Regular negativa
55 años o más,Secundaria INCOMPLETA,Mujer,Ramos Mejía,Muy negativa,Muy negativa,Muy negativa,Muy positiva,Muy positiva,Muy positiva,Negativa,Regular positiva,Regular negativa,Regular positiva,Regular positiva,Regular positiva,No lo conozco,Regular negativa,Muy negativa
