edad_agrup,n_edu,sexo,localidad,af,cfk,fe,mm,hrl,fm,jm,lc,tf,afi,vc,fa,ms,fas,ds
Entre 35 y 54 años,Terciario COMPLETO,Mujer,Isidro Casanova,Regular positiva,Positiva,Regular negativa,Muy negativa,Muy negativa,Regular positiva,Muy negativa,No lo conozco,No lo conozco,No lo conozco,Muy negativa,Positiva,No lo conozco,Muy negativa,Muy negativa
Entre 35 y 54 años,Terciario INCOMPLETO,Mujer,Villa Luzuriaga,Muy negativa,Muy negativa,Muy negativa,Positiva,Positiva,Muy positiva,Regular positiva,No lo conozco,Positiva,Positiva,Positiva,Muy positiva,No lo conozco,No lo conozco,Muy negativa
Entre 35 y 54 años,Universitario COMPLETO,Hombre,Ciudad Evita,Muy negativa,Muy negativa,Muy negativa,Regular positiva,Regular positiva,Positiva,Regular positiva,No lo conozco,Positiva,Positiva,Regular negativa,Regular negativa,Regular positiva,No lo conozco,Negativa
Entre 16 y 24 años,Universitario INCOMPLETO,Mujer,Isidro Casanova,Negativa,Regular negativa,Negativa,Negativa,Regular positiva,Regular positiva,Positiva,No lo conozco,Regular negativa,Regular negativa,Regular positiva,No la conozco,Regular negativa,Negativa,Regular negativa
Entre 35 y 54 años,Terciario INCOMPLETO,Mujer,Virrey del Pino,Regular negativa,Regular negativa,Negativa,Regular negativa,Negativa,No lo conozco,Regular positiva,No lo conozco,No lo conozco,Regular negativa,Regular positiva,No la conozco,No lo conozco,No lo conozco,Regular negativa
Entre 35 y 54 años,Secundaria COMPLETA,Hombre,Rafael Castillo,Muy negativa,Muy negativa,Muy negativa,Muy negativa,Muy negativa,No lo conozco,Regular positiva,No lo conozco,No lo conozco,No lo conozco,Muy negativa,Negativa,Negativa,No lo conozco,Negativa
Entre 35 y 54 años,Secundaria INCOMPLETA,Mujer,Laferrere,Regular negativa,Regular negativa,Muy negativa,Muy negativa,Muy negativa,Regular positiva,Muy negativa,No lo conozco,Negativa,No lo conozco,Muy negativa,No la conozco,Negativa,No lo conozco,Muy negativa
Entre 35 y 54 años,Terciario COMPLETO,Mujer,Villa Madero,Regular negativa,Negativa,Muy negativa,Negativa,Regular positiva,Regular positiva,Regular negativa,No lo conozco,No lo conozco,No lo conozco,Muy negativa,No la conozco,No lo conozco,No lo conozco,Negativa
Entre 25 y 34 años,Secundaria COMPLETA,Mujer,20 de Junio,No lo conozco,Positiva,Regular positiva,Muy negativa,Regular positiva,Regular negativa,Regular negativa,No lo conozco,Regular positiva,Regular negativa,Muy positiva,Regular positiva,Regular positiva,Regular positiva,Regular positiva
Entre 35 y 54 años,Secundaria COMPLETA,Hombre,Ramos Mejía,Regular negativa,Regular negativa,Regular positiva,Negativa,Positiva,No lo conozco,Regular negativa,No lo conozco,No lo conozco,No lo conozco,No la conozco,No la conozco,No lo conozco,No lo conozco,Regular positiva
Entre 35 y 54 años,Secundaria INCOMPLETA,Mujer,Isidro Casanova,Regular positiva,Negativa,Muy negativa,Regular negativa,Regular positiva,No lo conozco,Muy negativa,No lo conozco,No lo conozco,No lo conozco,Regular negativa,No la conozco,Negativa,No lo conozco,Negativa
55 años o más,Universitario COMPLETO,Mujer,Ramos Mejía,Muy negativa,Muy negativa,Muy negativa,Positiva,Positiva,Regular positiva,Regular positiva,No lo conozco,Positiva,Positiva,Muy positiva,Muy positiva,No lo conozco,No lo conozco,Muy negativa
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,La Tablada,Regular positiva,Regular negativa,Regular negativa,Muy negativa,Regular positiva,No lo conozco,Regular negativa,No lo conozco,No lo conozco,No lo conozco,Muy negativa,Muy negativa,Regular positiva,No lo conozco,Regular positiva
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Ramos Mejía,Muy negativa,Muy negativa,Muy negativa,Negativa,Positiva,Regular positiva,Regular negativa,No lo conozco,No lo conozco,No lo conozco,Negativa,Regular negativa,No lo conozco,No lo conozco,Muy negativa
Entre 35 y 54 años,Universitario INCOMPLETO,Mujer,Isidro Casanova,Muy negativa,Muy negativa,Muy negativa,Muy positiva,Muy positiva,Regular positiva,Regular positiva,No lo conozco,No lo conozco,No lo conozco,Muy positiva,Regular positiva,No lo conozco,No lo conozco,Muy negativa
Entre 35 y 54 años,Secundaria COMPLETA,Hombre,La Tablada,Muy positiva,Muy positiva,Muy negativa,Negativa,Regular negativa,Regular negativa,Positiva,No lo conozco,No lo conozco,Negativa,Negativa,No la conozco,No lo conozco,Positiva,Positiva
55 años o más,Terciario COMPLETO,Hombre,González Catán,Negativa,Negativa,Muy negativa,Regular negativa,Positiva,Regular positiva,Regular negativa,No lo conozco,Positiva,Positiva,Muy positiva,Positiva,Regular negativa,No lo conozco,Muy negativa
Entre 25 y 34 años,Secundaria INCOMPLETA,Mujer,Virrey del Pino,Positiva,Regular positiva,Regular negativa,Negativa,Regular positiva,Regular positiva,Regular negativa,No lo conozco,No lo conozco,No lo conozco,Negativa,Positiva,Regular negativa,No lo conozco,Regular negativa
Entre 25 y 34 años,Terciario INCOMPLETO,Mujer,Laferrere,Negativa,Negativa,Negativa,Negativa,Negativa,Positiva,Regular positiva,No lo conozco,No lo conozco,No lo conozco,Negativa,No la conozco,No lo conozco,No lo conozco,Negativa
55 años o más,Terciario INCOMPLETO,Mujer,Isidro Casanova,Muy positiva,Muy positiva,Regular negativa,Regular negativa,Positiva,Positiva,Regular negativa,No lo conozco,Regular negativa,No lo conozco,Regular positiva,No la conozco,Regular negativa,No lo conozco,Regular positiva
Entre 25 y 34 años,Secundaria INCOMPLETA,Mujer,Virrey del Pino,Muy positiva,Muy positiva,Negativa,Muy negativa,Negativa,No lo conozco,Negativa,No lo conozco,No lo conozco,No lo conozco,Muy negativa,Regular negativa,Regular negativa,No lo conozco,Regular negativa
Entre 35 y 54 años,Primaria COMPLETA,Mujer,Isidro Casanova,Regular negativa,Muy positiva,Regular positiva,Muy negativa,Muy negativa,Regular negativa,Muy negativa,No lo conozco,Negativa,Negativa,Muy negativa,No la conozco,Muy negativa,No lo conozco,Regular negativa
Entre 25 y 34 años,Universitario COMPLETO,Mujer,Villa Celina,Regular positiva,Regular positiva,No lo conozco,Regular negativa,Regular negativa,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,Negativa,No la conozco,No lo conozco,No lo conozco,No lo conozco
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Lomas del Mirador,Muy negativa,Muy negativa,Muy negativa,Negativa,Regular positiva,Regular positiva,Regular positiva,No lo conozco,No lo conozco,No lo conozco,Regular positiva,Positiva,No lo conozco,No lo conozco,Muy negativa
Entre 25 y 34 años,Secundaria COMPLETA,Mujer,Rafael Castillo,Muy positiva,Muy positiva,Regular positiva,Muy negativa,Positiva,Regular negativa,Regular positiva,No lo conozco,No lo conozco,No lo conozco,Muy negativa,Regular positiva,Regular positiva,Regular negativa,Regular positiva
Entre 35 y 54 años,Primaria COMPLETA,Mujer,Rafael Castillo,Muy positiva,Muy positiva,Positiva,No lo conozco,Negativa,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,Muy negativa,No la conozco,No lo conozco,No lo conozco,Positiva
Entre 35 y 54 años,Secundaria COMPLETA,Hombre,Ramos Mejía,Negativa,Muy negativa,Regular negativa,Muy negativa,Muy negativa,No lo conozco,No lo conozco,No lo conozco,Regular positiva,No lo conozco,No la conozco,No la conozco,No lo conozco,No lo conozco,Regular positiva
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,La Tablada,Positiva,Regular positiva,Muy negativa,Muy negativa,Positiva,Positiva,Muy negativa,No lo conozco,No lo conozco,No lo conozco,Muy negativa,Negativa,No lo conozco,No lo conozco,Regular negativa
Entre 35 y 54 años,Terciario INCOMPLETO,Hombre,Laferrere,Muy negativa,Muy negativa,Muy negativa,Negativa,Positiva,Positiva,Positiva,No lo conozco,Regular negativa,Negativa,Negativa,Muy negativa,Muy negativa,Muy negativa,Muy negativa
55 años o más,Universitario COMPLETO,Mujer,Ramos Mejía,Regular positiva,Regular negativa,No lo conozco,Negativa,Regular negativa,Regular negativa,Positiva,No lo conozco,No lo conozco,No lo conozco,Negativa,No la conozco,Muy negativa,No lo conozco,Regular positiva
55 años o más,Universitario COMPLETO,Hombre,Villa Luzuriaga,Regular positiva,Muy positiva,Regular positiva,Muy negativa,Muy negativa,Negativa,Muy negativa,No lo conozco,Negativa,Negativa,Muy negativa,No la conozco,No lo conozco,No lo conozco,Positiva
Entre 35 y 54 años,Posgrado y más,Hombre,Ramos Mejía,Regular negativa,Muy negativa,Negativa,Negativa,Negativa,Positiva,Muy positiva,No lo conozco,Regular positiva,Positiva,Negativa,Regular positiva,Regular negativa,No lo conozco,Negativa
Entre 35 y 54 años,Secundaria COMPLETA,Hombre,Ciudad Evita,Regular positiva,Regular positiva,Regular positiva,Muy negativa,Muy negativa,Regular negativa,Muy negativa,No lo conozco,No lo conozco,Negativa,Muy negativa,No la conozco,Negativa,No lo conozco,Regular positiva
Entre 35 y 54 años,Universitario COMPLETO,Hombre,Ciudad Evita,Muy negativa,Muy negativa,Muy negativa,Negativa,Negativa,Positiva,Muy negativa,No lo conozco,Muy positiva,Regular positiva,Positiva,Muy positiva,Negativa,No lo conozco,Negativa
Entre 35 y 54 años,Primaria COMPLETA,Hombre,Isidro Casanova,Regular negativa,Negativa,Negativa,Muy negativa,Regular negativa,Regular positiva,Regular negativa,No lo conozco,Negativa,Regular positiva,Negativa,Regular positiva,Regular negativa,No lo conozco,Regular positiva
Entre 35 y 54 años,Terciario INCOMPLETO,Mujer,San Justo,Muy negativa,Muy negativa,Negativa,Regular positiva,Positiva,Positiva,Positiva,No lo conozco,Regular negativa,Regular positiva,Regular positiva,No la conozco,Regular negativa,No lo conozco,Muy negativa
55 años o más,Posgrado y más,Mujer,San Justo,Muy negativa,Muy negativa,Muy negativa,Muy positiva,Positiva,Positiva,Muy negativa,No lo conozco,Muy positiva,Muy positiva,Regular positiva,Muy positiva,Regular positiva,No lo conozco,Muy negativa
Entre 16 y 24 años,Secundaria COMPLETA,Mujer,Isidro Casanova,Regular positiva,Positiva,Muy negativa,Muy negativa,Regular positiva,No lo conozco,Regular negativa,No lo conozco,No lo conozco,No lo conozco,Muy negativa,Regular positiva,Regular negativa,No lo conozco,Muy negativa
Entre 25 y 34 años,Universitario INCOMPLETO,Mujer,Laferrere,Regular positiva,Regular negativa,Regular negativa,Regular negativa,Regular negativa,No lo conozco,Regular negativa,No lo conozco,No lo conozco,No lo conozco,Negativa,No la conozco,Regular positiva,No lo conozco,Regular positiva
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Villa Luzuriaga,Muy negativa,Muy negativa,Muy negativa,Muy negativa,Regular negativa,Muy positiva,Positiva,No lo conozco,No lo conozco,No lo conozco,Muy negativa,No la conozco,No lo conozco,No lo conozco,Negativa
Entre 16 y 24 años,Universitario INCOMPLETO,Mujer,Villa Celina,Regular positiva,Regular negativa,Muy negativa,Regular positiva,Positiva,No lo conozco,Regular negativa,No lo conozco,No lo conozco,No lo conozco,No la conozco,No la conozco,No lo conozco,No lo conozco,Regular positiva
Entre 25 y 34 años,Secundaria COMPLETA,Mujer,Virrey del Pino,Positiva,Positiva,Regular positiva,Muy negativa,Muy negativa,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No la conozco,No la conozco,No lo conozco,No lo conozco,No lo conozco
Entre 35 y 54 años,Secundaria INCOMPLETA,Hombre,Virrey del Pino,Regular positiva,Regular positiva,Regular negativa,Negativa,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No la conozco,No la conozco,No lo conozco,No lo conozco,Negativa
Entre 25 y 34 años,Universitario INCOMPLETO,Mujer,Villa Luzuriaga,Positiva,Positiva,Regular negativa,Muy negativa,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,Muy negativa,No la conozco,Positiva,No lo conozco,Regular positiva
Entre 35 y 54 años,Primaria COMPLETA,Hombre,González Catán,Muy negativa,Muy negativa,Negativa,Regular positiva,Positiva,Muy positiva,Muy positiva,No lo conozco,No lo conozco,No lo conozco,Muy positiva,No la conozco,Positiva,No lo conozco,Regular negativa
55 años o más,Secundaria INCOMPLETA,Mujer,La Tablada,Positiva,Regular positiva,Negativa,Negativa,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,Regular negativa,No la conozco,No lo conozco,No lo conozco,Positiva
Entre 35 y 54 años,Secundaria COMPLETA,Hombre,Laferrere,Regular negativa,Regular positiva,Regular negativa,Muy negativa,Regular negativa,Regular negativa,Negativa,No lo conozco,No lo conozco,Regular negativa,Negativa,No la conozco,Regular negativa,No lo conozco,Regular negativa
Entre 16 y 24 años,Universitario INCOMPLETO,Mujer,Virrey del Pino,Muy negativa,Muy negativa,Muy negativa,Regular negativa,Negativa,Regular negativa,Muy positiva,No lo conozco,Positiva,Regular negativa,Regular positiva,Regular negativa,Negativa,Muy negativa,Muy negativa
Entre 25 y 34 años,Secundaria COMPLETA,Mujer,González Catán,Muy negativa,Positiva,Muy negativa,Muy negativa,Positiva,Positiva,Positiva,No lo conozco,Muy negativa,No lo conozco,Muy negativa,No la conozco,No lo conozco,No lo conozco,Muy negativa
Entre 25 y 34 años,Secundaria COMPLETA,Mujer,Virrey del Pino,Regular negativa,Muy negativa,Muy negativa,Regular positiva,No lo conozco,No lo conozco,Negativa,No lo conozco,No lo conozco,No lo conozco,Positiva,No la conozco,No lo conozco,No lo conozco,Negativa
55 años o más,Universitario COMPLETO,Hombre,González Catán,Muy negativa,Muy negativa,Negativa,Muy negativa,Regular negativa,Regular negativa,Regular positiva,No lo conozco,Negativa,Negativa,Negativa,Negativa,Negativa,No lo conozco,Regular positiva
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,San Justo,Negativa,Negativa,Muy negativa,Muy negativa,Muy negativa,Negativa,Muy negativa,No lo conozco,No lo conozco,Regular negativa,Muy negativa,No la conozco,No lo conozco,Negativa,Muy negativa
Entre 35 y 54 años,Universitario INCOMPLETO,Mujer,Isidro Casanova,Regular positiva,Negativa,Regular negativa,Regular negativa,Regular positiva,Positiva,Regular positiva,No lo conozco,Positiva,Regular positiva,Regular positiva,Regular positiva,Regular positiva,Regular positiva,Regular negativa
Entre 25 y 34 años,Universitario INCOMPLETO,Mujer,Rafael Castillo,Regular negativa,Regular positiva,Regular negativa,Muy negativa,Muy negativa,No lo conozco,Positiva,No lo conozco,No lo conozco,Regular negativa,Negativa,Regular negativa,Regular negativa,No lo conozco,Regular positiva
Entre 35 y 54 años,Universitario COMPLETO,Hombre,Ramos Mejía,Negativa,Muy negativa,Muy negativa,Positiva,Muy positiva,Positiva,Regular positiva,No lo conozco,Muy positiva,No lo conozco,Muy positiva,Positiva,Regular positiva,No lo conozco,Regular negativa
Entre 16 y 24 años,Secundaria INCOMPLETA,Hombre,González Catán,Regular negativa,Regular positiva,Muy negativa,Muy negativa,Regular positiva,No lo conozco,Muy positiva,No lo conozco,No lo conozco,No lo conozco,No la conozco,No la conozco,No lo conozco,No lo conozco,No lo conozco
55 años o más,Primaria COMPLETA,Mujer,González Catán,Muy positiva,Muy positiva,Positiva,Muy negativa,Muy negativa,Muy negativa,Muy negativa,No lo conozco,No lo conozco,No lo conozco,Muy negativa,No la conozco,Muy negativa,Muy negativa,Muy positiva
Entre 25 y 34 años,Secundaria COMPLETA,Mujer,González Catán,Positiva,Regular positiva,Regular negativa,Negativa,Regular negativa,Positiva,Positiva,No lo conozco,No lo conozco,No lo conozco,Positiva,No la conozco,Regular negativa,No lo conozco,Regular positiva
Entre 35 y 54 años,Secundaria INCOMPLETA,Mujer,Rafael Castillo,Muy negativa,Muy negativa,Negativa,Muy negativa,Muy negativa,No lo conozco,Regular negativa,No lo conozco,No lo conozco,No lo conozco,Muy negativa,No la conozco,No lo conozco,Regular negativa,Positiva
55 años o más,Terciario COMPLETO,Mujer,Ciudad Evita,Negativa,Muy negativa,Negativa,Muy negativa,Muy negativa,Regular positiva,Negativa,No lo conozco,No lo conozco,Negativa,Muy negativa,No la conozco,Negativa,No lo conozco,Negativa
Entre 35 y 54 años,Universitario INCOMPLETO,Mujer,Villa Luzuriaga,Regular negativa,Muy positiva,Positiva,Muy negativa,Muy negativa,No lo conozco,Muy negativa,No lo conozco,No lo conozco,Regular positiva,Muy negativa,Positiva,Positiva,Positiva,Positiva
Entre 16 y 24 años,Terciario INCOMPLETO,Mujer,La Tablada,Regular negativa,Muy positiva,Positiva,Muy negativa,Muy negativa,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,Muy negativa,No la conozco,No lo conozco,No lo conozco,Negativa
Entre 16 y 24 años,Terciario INCOMPLETO,Mujer,González Catán,Muy positiva,Muy positiva,Regular positiva,Muy negativa,Negativa,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,Negativa,No la conozco,Positiva,No lo conozco,Negativa
Entre 35 y 54 años,Universitario COMPLETO,Mujer,Villa Luzuriaga,Negativa,Muy negativa,Regular positiva,Muy positiva,Muy positiva,Positiva,Regular positiva,No lo conozco,No lo conozco,No lo conozco,Positiva,No la conozco,Regular positiva,No lo conozco,Regular negativa
Entre 35 y 54 años,Terciario INCOMPLETO,Mujer,Lomas del Mirador,Negativa,Muy negativa,Muy negativa,Negativa,Regular positiva,Regular positiva,Regular positiva,No lo conozco,No lo conozco,No lo conozco,Regular positiva,No la conozco,No lo conozco,No lo conozco,Negativa
Entre 16 y 24 años,Secundaria INCOMPLETA,Mujer,González Catán,Regular positiva,Regular positiva,Positiva,Negativa,Regular positiva,No lo conozco,Negativa,No lo conozco,No lo conozco,No lo conozco,Muy negativa,No la conozco,No lo conozco,No lo conozco,Regular positiva
55 años o más,Terciario COMPLETO,Hombre,San Justo,Positiva,Muy positiva,Regular positiva,Muy negativa,Muy negativa,Negativa,Muy negativa,No lo conozco,Negativa,No lo conozco,Muy negativa,Negativa,Negativa,No lo conozco,Regular positiva
Entre 35 y 54 años,Terciario INCOMPLETO,Mujer,Villa Luzuriaga,Regular positiva,Regular positiva,Muy negativa,Muy negativa,Muy negativa,No lo conozco,Muy negativa,No lo conozco,Negativa,No lo conozco,Muy negativa,No la conozco,Muy negativa,No lo conozco,Muy negativa
Entre 35 y 54 años,Primaria COMPLETA,Mujer,Isidro Casanova,Negativa,Negativa,Negativa,Muy negativa,No lo conozco,Regular positiva,No lo conozco,No lo conozco,No lo conozco,No lo conozco,Regular positiva,No la conozco,No lo conozco,No lo conozco,No lo conozco
Entre 35 y 54 años,Terciario COMPLETO,Mujer,Villa Madero,Regular positiva,Regular positiva,Regular negativa,Muy negativa,Muy negativa,No lo conozco,Muy negativa,No lo conozco,No lo conozco,No lo conozco,Muy negativa,No la conozco,No lo conozco,No lo conozco,No lo conozco
55 años o más,Terciario COMPLETO,Hombre,Villa Luzuriaga,Negativa,Muy negativa,Negativa,Regular negativa,Positiva,Regular positiva,Regular positiva,No lo conozco,Negativa,Positiva,Positiva,Positiva,No lo conozco,No lo conozco,Muy negativa
Entre 25 y 34 años,Terciario INCOMPLETO,Mujer,Laferrere,Regular positiva,Negativa,Regular positiva,Negativa,Negativa,No lo conozco,Regular negativa,No lo conozco,No lo conozco,No lo conozco,Regular negativa,No la conozco,No lo conozco,No lo conozco,Regular positiva
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Isidro Casanova,Muy negativa,Muy negativa,Muy negativa,Positiva,Muy positiva,Muy positiva,Muy positiva,No lo conozco,Muy positiva,Positiva,Negativa,Muy positiva,Muy negativa,Muy negativa,Muy negativa
Entre 25 y 34 años,Universitario INCOMPLETO,Hombre,González Catán,Muy negativa,Muy negativa,Regular negativa,Muy negativa,Regular negativa,Positiva,Regular negativa,No lo conozco,No lo conozco,No lo conozco,Negativa,No la conozco,No lo conozco,No lo conozco,Negativa
Entre 35 y 54 años,Secundaria INCOMPLETA,Mujer,Laferrere,Muy negativa,Muy negativa,Muy negativa,Positiva,Positiva,Positiva,Muy positiva,No lo conozco,No lo conozco,No lo conozco,Muy positiva,Positiva,Positiva,No lo conozco,Muy negativa
Entre 16 y 24 años,Secundaria COMPLETA,Hombre,Villa Luzuriaga,Regular negativa,Regular negativa,Regular positiva,Regular negativa,No lo conozco,No lo conozco,Regular positiva,No lo conozco,No lo conozco,No lo conozco,No la conozco,No la conozco,No lo conozco,No lo conozco,Negativa
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Laferrere,Regular positiva,Negativa,Regular positiva,Negativa,Positiva,Positiva,Regular negativa,No lo conozco,No lo conozco,No lo conozco,Positiva,Regular positiva,Positiva,No lo conozco,Negativa
Entre 16 y 24 años,Secundaria COMPLETA,Hombre,Villa Luzuriaga,Negativa,Muy negativa,Regular negativa,Regular positiva,Positiva,Regular negativa,Muy positiva,No lo conozco,No lo conozco,Regular negativa,Muy negativa,Muy negativa,No lo conozco,Negativa,Muy negativa
Entre 25 y 34 años,Secundaria COMPLETA,Mujer,Ciudad Evita,Positiva,Regular positiva,Regular positiva,Muy negativa,Negativa,Negativa,Muy negativa,No lo conozco,No lo conozco,No lo conozco,Muy negativa,No la conozco,No lo conozco,No lo conozco,Regular positiva
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,San Justo,Muy negativa,Muy negativa,Muy negativa,Regular positiva,Muy positiva,Regular positiva,Regular positiva,No lo conozco,No lo conozco,Regular positiva,Negativa,Negativa,Positiva,No lo conozco,Regular negativa
Entre 16 y 24 años,Secundaria COMPLETA,Mujer,La Tablada,Regular positiva,Regular positiva,Regular negativa,Negativa,Positiva,No lo conozco,Muy negativa,No lo conozco,No lo conozco,No lo conozco,Muy negativa,No la conozco,No lo conozco,No lo conozco,Regular positiva
Entre 35 y 54 años,Primaria COMPLETA,Mujer,Laferrere,Negativa,Muy negativa,Muy negativa,Negativa,Muy positiva,Muy positiva,Regular negativa,No lo conozco,Regular positiva,No lo conozco,Negativa,No la conozco,Regular negativa,No lo conozco,Muy negativa
Entre 16 y 24 años,Secundaria COMPLETA,Mujer,Laferrere,Regular positiva,Muy negativa,Muy negativa,Positiva,Regular positiva,No lo conozco,Regular positiva,No lo conozco,No lo conozco,No lo conozco,Muy negativa,No la conozco,Regular negativa,Regular negativa,Regular negativa
Entre 35 y 54 años,Terciario INCOMPLETO,Mujer,Villa Luzuriaga,Positiva,Muy positiva,Positiva,Muy negativa,Muy negativa,Muy negativa,Muy negativa,No lo conozco,Negativa,No lo conozco,Muy negativa,Negativa,Regular positiva,No lo conozco,Positiva
Entre 35 y 54 años,Terciario COMPLETO,Mujer,La Tablada,Regular positiva,Muy negativa,Muy negativa,Muy positiva,Muy positiva,Regular negativa,Positiva,No lo conozco,Negativa,Negativa,Regular positiva,No la conozco,Negativa,Negativa,Negativa
Entre 35 y 54 años,Primaria INCOMPLETA,Mujer,Ciudad Evita,Regular positiva,Muy positiva,Regular negativa,Negativa,Negativa,No lo conozco,Positiva,No lo conozco,No lo conozco,No lo conozco,Positiva,No la conozco,No lo conozco,No lo conozco,No lo conozco
Entre 35 y 54 años,Terciario COMPLETO,Mujer,González Catán,Positiva,Regular positiva,Muy negativa,Muy negativa,Muy negativa,Regular positiva,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No la conozco,No la conozco,No lo conozco,No lo conozco,Muy negativa
Entre 35 y 54 años,Universitario COMPLETO,Mujer,Ciudad Evita,Muy negativa,Muy negativa,Muy negativa,Regular negativa,Positiva,Positiva,Regular negativa,No lo conozco,Positiva,No lo conozco,Negativa,Positiva,No lo conozco,No lo conozco,Muy negativa
Entre 25 y 34 años,Secundaria COMPLETA,Mujer,Virrey del Pino,Muy positiva,Muy positiva,Muy negativa,Muy negativa,Muy negativa,No lo conozco,Muy negativa,No lo conozco,No lo conozco,Muy negativa,Muy negativa,No la conozco,No lo conozco,No lo conozco,Positiva
Entre 25 y 34 años,Terciario COMPLETO,Mujer,Laferrere,Negativa,Muy negativa,Muy negativa,Negativa,Regular negativa,No lo conozco,Negativa,No lo conozco,No lo conozco,No lo conozco,Muy negativa,No la conozco,Regular negativa,No lo conozco,Regular negativa
Entre 35 y 54 años,Universitario COMPLETO,Mujer,Ramos Mejía,Muy negativa,Negativa,Negativa,Regular negativa,Regular positiva,Regular positiva,Regular negativa,No lo conozco,No lo conozco,No lo conozco,Regular negativa,No la conozco,No lo conozco,No lo conozco,Regular negativa
Entre 16 y 24 años,Secundaria COMPLETA,Mujer,Virrey del Pino,No lo conozco,No la conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No la conozco,No la conozco,No lo conozco,No lo conozco,No lo conozco
Entre 35 y 54 años,Universitario INCOMPLETO,Hombre,Isidro Casanova,Muy negativa,Muy negativa,Muy negativa,Regular negativa,Regular positiva,Negativa,Regular positiva,No lo conozco,Positiva,Positiva,Muy positiva,Muy positiva,No lo conozco,No lo conozco,Muy negativa
55 años o más,Terciario COMPLETO,Mujer,Lomas del Mirador,Muy negativa,Muy negativa,Negativa,Regular negativa,Positiva,Positiva,Regular negativa,No lo conozco,No lo conozco,No lo conozco,Regular positiva,No la conozco,Regular negativa,No lo conozco,Negativa
Entre 35 y 54 años,Terciario COMPLETO,Mujer,González Catán,Muy negativa,Regular negativa,Muy negativa,Muy negativa,Negativa,Negativa,Negativa,No lo conozco,Muy negativa,Positiva,Muy negativa,No la conozco,Muy positiva,Negativa,Regular negativa
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Laferrere,Regular positiva,Regular positiva,Regular negativa,Muy negativa,Regular negativa,No lo conozco,Regular positiva,No lo conozco,No lo conozco,No lo conozco,Muy negativa,No la conozco,No lo conozco,No lo conozco,Regular negativa
55 años o más,Secundaria COMPLETA,Mujer,Ramos Mejía,Muy negativa,Muy negativa,Muy negativa,Regular positiva,Muy positiva,Regular negativa,Regular positiva,No lo conozco,No lo conozco,No lo conozco,Regular positiva,No la conozco,No lo conozco,No lo conozco,Muy negativa
55 años o más,Terciario INCOMPLETO,Hombre,Aldo Bonzi,Muy negativa,Muy negativa,Muy negativa,Muy negativa,Positiva,Regular positiva,Muy negativa,No lo conozco,Regular positiva,Negativa,Regular positiva,Regular positiva,Negativa,No lo conozco,Muy negativa
Entre 35 y 54 años,Posgrado y más,Mujer,Ciudad Evita,Regular positiva,Negativa,Negativa,Muy negativa,Negativa,Regular negativa,Regular negativa,No lo conozco,Regular negativa,No lo conozco,Negativa,No la conozco,No lo conozco,No lo conozco,Regular positiva
Entre 35 y 54 años,Primaria COMPLETA,Mujer,Laferrere,Regular negativa,Negativa,Muy negativa,Regular negativa,Positiva,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,Regular positiva,No la conozco,No lo conozco,No lo conozco,Regular negativa
55 años o más,Secundaria INCOMPLETA,Mujer,San Justo,Positiva,Regular positiva,Muy negativa,Muy negativa,Regular positiva,Regular positiva,Negativa,No lo conozco,No lo conozco,No lo conozco,Muy negativa,No la conozco,Regular positiva,No lo conozco,Regular positiva
55 años o más,Universitario COMPLETO,Hombre,Villa Luzuriaga,Muy negativa,Muy negativa,Muy negativa,Muy negativa,Muy positiva,Muy positiva,Positiva,No lo conozco,Regular positiva,No lo conozco,Muy positiva,Negativa,No lo conozco,No lo conozco,Negativa
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Laferrere,Muy negativa,Muy negativa,Negativa,Positiva,Positiva,Negativa,Regular positiva,No lo conozco,No lo conozco,No lo conozco,Muy positiva,No la conozco,No lo conozco,No lo conozco,Negativa
